record_id,plan_name,plan_category,age,gender,num_members,city_tier,state,bmi_category,smoke,has_pre_existing,annual_checkup,ncb_years,sum_insured,deductible,num_addons,addons_list,has_maternity,has_opd,policy_tenure,prev_insurer,annual_premium,gst_amount,total_premium
AHQ000000,Family Floater Standard,Family,23,Male,4,2,Punjab,Normal,0,0,0,0,750000,25000,1,dental_vision,0,0,2,Bajaj Allianz,78300.0,14094.0,92394.0
AHQ000001,Critical Illness,Specialty,43,Female,1,3,Delhi,Overweight,0,0,0,4,2500000,0,0,,0,0,1,Niva Bupa,53500.0,9630.0,63130.0
AHQ000002,Family Floater Premium,Family,20,Female,5,1,Madhya Pradesh,Normal,0,1,0,0,750000,0,0,,0,0,2,SBI Health,181400.0,32652.0,214052.0
AHQ000003,Senior Citizen,Senior,61,Female,2,1,Haryana,Overweight,0,1,1,3,1000000,5000,3,maternity|critical_illness_rider|international_cover,1,0,1,Care Health,147000.0,26460.0,173460.0
AHQ000004,Family Floater Standard,Family,43,Male,2,3,Kerala,Overweight,0,0,1,0,1000000,0,1,personal_accident,0,0,1,SBI Health,37200.0,6696.0,43896.0
AHQ000005,Senior Citizen,Senior,66,Male,3,2,Gujarat,Overweight,0,0,0,0,500000,0,0,,0,0,1,SBI Health,136500.0,24570.0,161070.0
AHQ000006,Individual Basic,Individual,59,Male,1,2,West Bengal,Normal,0,0,1,0,300000,50000,1,personal_accident,0,0,1,Niva Bupa,14200.0,2556.0,16756.0
AHQ000007,Family Floater Standard,Family,57,Female,3,2,Punjab,Normal,0,0,1,0,500000,0,2,dental_vision|hospital_cash,0,0,1,Niva Bupa,74800.0,13464.0,88264.0
AHQ000008,Family Floater Standard,Family,59,Female,3,1,Punjab,Normal,0,0,1,0,500000,0,1,personal_accident,0,0,1,United India,79100.0,14238.0,93338.0
AHQ000009,Family Floater Standard,Family,51,Male,5,2,West Bengal,Normal,0,0,0,2,1000000,0,4,dental_vision|critical_illness_rider|maternity|opd_cover,1,1,3,HDFC Ergo,278200.0,50076.0,328276.0
AHQ000010,Senior Citizen,Senior,65,Female,1,2,Karnataka,Overweight,0,0,1,4,500000,0,1,hospital_cash,0,0,1,Star Health,69500.0,12510.0,82010.0
AHQ000011,Individual Premium,Individual,49,Female,1,3,Telangana,Overweight,0,0,1,0,750000,50000,0,,0,0,2,United India,51700.0,9306.0,61006.0
AHQ000012,Super Top-Up,Specialty,30,Male,1,3,Madhya Pradesh,Overweight,0,1,0,0,10000000,0,1,hospital_cash,0,0,1,SBI Health,88100.0,15858.0,103958.0
AHQ000013,Individual Standard,Individual,38,Female,1,1,Andhra Pradesh,Overweight,0,0,1,0,500000,5000,0,,0,0,1,United India,21300.0,3834.0,25134.0
AHQ000014,Individual Premium,Individual,24,Female,1,3,Maharashtra,Overweight,0,1,0,1,2000000,0,2,critical_illness_rider|opd_cover,0,1,3,Care Health,128600.0,23148.0,151748.0
AHQ000015,Family Floater Standard,Family,34,Female,3,1,Kerala,Normal,0,0,0,3,300000,10000,4,dental_vision|critical_illness_rider|hospital_cash|opd_cover,0,1,1,Niva Bupa,32200.0,5796.0,37996.0
AHQ000016,Family Floater Basic,Family,31,Female,3,2,Karnataka,Normal,0,0,0,0,300000,5000,4,personal_accident|hospital_cash|international_cover|critical_illness_rider,0,0,2,HDFC Ergo,44200.0,7956.0,52156.0
AHQ000017,Family Floater Basic,Family,26,Male,4,1,Tamil Nadu,Normal,1,1,1,0,300000,5000,2,dental_vision|international_cover,0,0,1,SBI Health,45500.0,8190.0,53690.0
AHQ000018,Individual Premium,Individual,36,Female,1,1,Madhya Pradesh,Normal,0,0,1,1,500000,0,0,,0,0,1,SBI Health,25500.0,4590.0,30090.0
AHQ000019,Family Floater Standard,Family,57,Female,4,3,Karnataka,Overweight,0,0,0,0,500000,10000,2,dental_vision|critical_illness_rider,0,0,2,Niva Bupa,159100.0,28638.0,187738.0
AHQ000020,Family Floater Standard,Family,21,Male,2,1,Tamil Nadu,Normal,0,0,1,2,1000000,25000,4,critical_illness_rider|international_cover|personal_accident|opd_cover,0,1,2,SBI Health,68100.0,12258.0,80358.0
